VZmax,VPzabove1,VPzabove3,VPzabove4,VZq90,VZq95,VFHD,VSlope,VAspect,Depth
20.2,99.75212874,88.1073167,81.332597,15.9854,17.205,2.536217444,17.75231774,172.1065557,0.60786124
9.41,97.87546429,59.89641567,43.4010408,6.566,7.334,2.008234149,1.222789388,169.3516098,1.000315604
19.564,99.81037519,96.15332521,84.65393471,17.229,17.895,2.25579178,2.839514801,166.1394451,0.884730362
14.431,97.08515139,59.96706368,41.88131339,7.48,8.3,1.568804224,22.44791933,310.6589426,0.948708971
25.519,99.00125235,73.53944897,66.17251096,18.164,20.3701,3.031497545,15.28991516,161.0954047,0.691790838
21.417,98.49741418,75.51583889,61.00510643,15.646,16.615,1.813147008,27.14263304,299.8359295,0.685274269
16.356,97.0572426,64.71807569,47.21320803,8.846,10.691,1.963973134,22.1417803,304.6182353,0.903899203
24.228,99.83700081,84.18907905,82.47758761,23.16,23.5282,2.575981614,12.42819045,202.3901505,1.138622603
11.502,98.48880169,72.67736751,57.53616231,8.178,9.2354,2.102621214,9.429483699,253.5214147,0.740271822
24.778,98.21354758,72.25800471,53.98087536,10.08,12.32,1.966630744,18.82418454,304.6377553,0.842702716
25.188,88.0402303,33.77304861,27.93528169,10.61,13.91,2.277074992,7.273305223,50.55597808,0.84411124
6.237,93.84244034,22.58095871,11.29938927,4.1916,4.751,2.044489959,4.764896944,134.6757013,1.334113907
16.677,98.50111052,77.21333015,65.57743174,11.856,13.458,2.018668993,5.643774449,149.9658836,0.900698133
14.352,99.6254659,62.97678978,48.82496733,8.553,9.998,2.148015173,18.05362729,302.8653529,0.85873705
17.18,99.13237925,59.48568873,38.36135957,9.96,12.61,2.389433555,21.09978763,313.6353011,0.750479506
18.779,98.32994073,72.30154939,50.36608485,9.42,10.93,2.185070864,23.72627809,306.7929145,0.961225945
24.194,99.81603154,99.13272011,99.02759527,22.488,23.037,2.775849382,2.950042009,73.89327604,0.67816427
10.597,98.80952381,69.04761905,59.52380952,6.4539,8.0143,2.757724123,3.415625491,306.0969765,0.47632519
13.347,98.4683368,64.31843959,52.17433002,5.505,5.985,1.835100649,19.32334669,314.4732314,0.831339821
22.217,99.82411569,94.43033027,93.58999414,20.6486,21.167,2.193506507,6.206868627,226.8553391,1.209144662
14.111,94.88259,64.51583853,53.77220434,10.07,11.702,1.79029502,3.118195783,244.7378693,0.75598409
17.043,97.4093557,60.97235208,46.9161932,10.951,13.913,2.940961142,8.125376935,151.0056891,1.022180558
23.441,99.96198762,98.10254894,96.83969337,19.611,20.735,2.865223889,4.024812891,231.3693361,1.035856578
17.23,96.81862462,65.65474237,56.11530467,10.141,12.243,1.86715266,25.37736995,314.7505376,0.897727775
20.666,100,100,100,17.4945,18.89725,2.458098437,2.779941725,136.8389364,1.01566427
18.32,99.9813572,89.18717375,83.7546607,15.6051,16.355,3.012764655,5.638518864,176.0521303,0.699908199
19.501,97.95400639,77.74775704,73.61658245,12.6126,16.004,2.157157557,8.163669268,36.90370449,0.906035722
21.305,100,98.49442379,97.55018587,18.5773,19.391,2.741977665,9.067963297,285.7417908,1.127053159
